index,r,l,t
629,-1537.582942,5,53841.54381990433
630,-1506.81431,1,53859.14012789726
631,-1556.968926,8,53874.35503602028
632,-1575.521271,15,53896.33552002907
633,-1704.879282,229,54138.56259608269
634,-1802.358182,557,54718.291049957275
635,-1538.356252,35,54769.92026400566
636,-1529.16595,5,54781.64338898659
637,-1585.628274,97,54887.991475105286
638,-1525.948803,5,54908.69229388237
639,-1596.183552,41,54966.47067499161
640,-1551.30973,25,55007.77683496475
641,-1581.942726,93,55109.837476968765
642,-1571.422242,129,55249.15571498871
643,-1600.047854,159,55419.14827299118
644,-1571.337882,53,55480.1555480957
645,-1529.294818,5,55500.874066114426
646,-1536.246036,29,55546.26995110512
647,-1520.978292,3,55555.892980098724
648,-1723.253299,223,55800.9176030159
649,-1523.30743,3,55810.53722810745
650,-1560.766223,79,55907.343451976776
651,-1655.69848,93,56009.559119939804
652,-1757.065804,391,56418.66964793205
653,-1537.669554,55,56481.828521966934
654,-1627.371134,177,56670.46003293991
655,-1559.9573,105,56794.097275972366
656,-1586.963969,35,56836.64018893242
657,-1525.741773,31,56875.10610103607
658,-1599.098916,93,56977.107270002365
659,-1577.84911,15,56999.062405109406
660,-1543.04796,5,57010.78125500679
661,-1530.347954,9,57026.57393193245
662,-1676.164914,107,57143.14327311516
663,-1701.019809,179,57333.89259791374
664,-1635.301702,81,57432.68736791611
665,-1557.481157,23,57462.91885495186
666,-1579.327887,97,57569.209008932114
667,-1597.97918,85,57663.36219406128
668,1961.364235,14,57683.82441306114
669,-1603.63217,75,57762.52630901337
670,-1555.493115,29,57798.911669015884
671,-1610.750121,61,57868.22908806801
672,-1534.532695,5,57894.98197507858
673,-1708.600605,255,58164.248879909515
674,-1556.259033,15,58195.15425205231
675,-1566.233172,111,58324.81837797165
676,-1672.816246,331,58671.824815034866
677,-1545.877095,25,58704.10493206978
678,-1530.095946,5,58724.828321933746
679,-1642.370002,137,58881.45813202858
680,-1587.880209,51,58949.51059293747
681,-1531.433229,7,58972.305556058884
682,-1773.561141,411,59401.868634939194
683,-1670.77659,181,59603.787348032
684,-1545.602665,13,59632.702375888824
685,-1568.487274,55,59695.87895703316
686,-1515.691651,3,59705.49264407158
687,-1541.245195,31,59743.889589071274
688,-1555.887472,41,59801.617949962616
689,-1515.073028,3,59811.24784398079
690,-1517.820261,3,59820.83499288559
691,-1692.548149,117,59947.88409805298
692,-1547.192878,9,59963.753786087036
693,-1648.12811,153,60127.80909490585
694,-1679.499036,221,60361.85074400902
695,-1514.41809,3,60371.50197792053
696,-1581.747795,91,60471.61718297005
697,-1574.308248,97,60587.1070330143
698,-1573.92343,55,60659.236105918884
699,-1546.279536,29,60695.64518094063
700,-1656.98278,45,60748.46861290932
701,-1716.162888,185,60945.28886294365
702,-1525.308305,5,60966.011419057846
703,-1531.102608,23,60996.2279651165
704,-1656.470726,253,61262.95513701439
705,-1626.677545,119,61391.817573070526
706,1965.370919,46,61445.19052195549
707,-1615.100716,107,61556.79634308815
708,-1518.967611,5,61568.478534936905
709,-1539.570376,13,61603.39820289612
710,-1537.532838,17,61636.44500494003
711,-1537.099687,15,61658.38166189194
712,-1536.722272,5,61670.052079916
713,-1646.800015,163,61853.29414391518
714,1917.311418,108,61970.42467689514
715,-1568.498603,133,62108.81235098839
716,-1548.425096,99,62226.27792310715
717,-1551.117702,39,62273.012758016586
718,-1609.367724,157,62441.036747932434
719,-1521.732309,19,62467.101612091064
720,-1518.026619,3,62476.70202708244
721,-1551.264869,5,62497.41609811783
722,-1556.493428,31,62544.82180094719
723,-1540.68881,43,62595.67045688629
724,-1521.053539,5,62607.33625507355
725,-1527.819569,5,62619.03643107414
726,-1506.25,1,62636.64135599136
727,-1532.195827,4,62647.80120110512
728,-1597.4117,105,62771.29849600792
729,-1529.143071,25,62803.534531116486
730,-1636.259199,73,62885.1921210289
731,-1522.201223,3,62903.82567405701
732,-1507.393715,1,62921.391715049744
733,-1511.784967,2,62931.48810791969
734,-1645.227516,213,63168.290935993195
735,-1591.412213,17,63201.39793300629
736,-1626.110553,241,63455.91285991669
737,-1522.880526,5,63467.60103106499
738,-1726.396812,229,63709.60206890106
739,-1614.727473,209,63940.42441511154
740,-1519.997647,3,63965.10941505432
741,-1507.259528,1,63982.70694899559
742,-1522.234813,4,63993.92947292328
743,-1721.490074,201,64216.15736603737
744,-1518.909056,3,64225.78521490097
745,-1529.80682,23,64265.01647901535
746,-1534.210937,5,64276.63603591919
747,-1584.546363,27,64319.91754794121
748,-1533.460574,5,64331.593391895294
749,-1582.339872,55,64394.81265902519
750,-1537.023544,23,64434.07027101517
751,-1568.159713,33,64474.546952962875
752,-1557.219306,23,64504.73352098465
753,-1513.056728,3,64514.3570458889
754,-1651.190792,171,64705.9692800045
755,-1558.442706,21,64734.10824394226
756,-1555.465571,17,64758.103300094604
