index,r,l,t
350,-1037.124247,11,50810.628146886826
351,-1046.996796,27,50856.90588307381
352,-2949.600276,615,51495.31066989899
353,-4635.004291,893,52418.369216918945
354,-3274.745965,371,52809.43650007248
355,-2298.196468,295,53122.36390590668
356,-1024.151076,3,53135.01178598404
357,1534.896703,194,53352.509654045105
358,-3167.52642,553,53925.83542108536
359,-1176.780843,79,54016.68663597107
360,-6494.336135,1307,55379.42066001892
361,-1033.012747,11,55400.2961640358
362,-3379.99429,753,56184.182468891144
363,-2302.697345,247,56447.98633694649
364,-1029.080553,5,56462.67032790184
365,-1491.522613,169,56655.07027006149
366,1868.475398,66,56731.936999082565
367,-2400.112561,365,57112.030478954315
368,1734.468571,86,57209.42239403725
369,-7780.222637,1961,59230.51250600815
370,-4222.53948,1089,60355.04792499542
371,-3010.726469,383,60761.02649497986
372,-1677.686116,165,60937.47853088379
373,-2636.205767,473,61425.34094500542
374,-7767.798982,1713,63193.11223292351
375,-6750.895785,1347,64588.14267492294
376,-3053.144748,357,64973.765995025635
377,-1020.41801,3,64986.38618302345
378,-3178.294907,619,65638.62040495872
379,-2780.471768,1092,66752.4866950512
380,-16382.069823,1913,68691.80633807182
381,-8198.920965,2517,71261.42020511627
382,-1018.292388,3,71273.99006199837
383,239.399294,392,71679.45092701912
384,-11940.153629,2925,74658.96875405312
385,-22357.574494,4001,78717.97631502151
386,-11039.68888,4001,82779.57120895386
387,-13121.633449,4001,86865.12285208702
388,1663.150571,114,86984.42733192444
389,1294.641299,204,87194.68578195572
390,-10069.731624,3051,90303.02027606964
391,688.083304,464,90782.45911002159
392,-1429.87607,165,90953.82700610161
393,-1015.592267,3,90966.46902894974
394,-15047.237682,3413,94439.7527449131
395,77.001278,704,95172.58723306656
396,-8905.662236,2903,98160.87288093567
397,1688.000618,106,98278.90705609322
398,-2526.21601,527,98825.1042649746
399,-1017.282214,3,98837.7511279583
400,-13966.326348,3303,102211.97302889824
401,-11776.293521,4001,106332.23369908333
402,-9783.832159,2367,108768.79751205444
403,-4281.096417,957,109770.24854803085
404,-3854.241445,801,110602.81081604958
405,-1258.318626,85,110708.66650009155
406,1712.309334,98,110818.38307404518
407,365.053202,380,111212.64827394485
408,-11327.517068,3455,114766.63317799568
409,-1016.370538,3,114779.27378797531
410,983.20261,312,115108.80755901337
411,-8026.822465,2013,117181.07983994484
412,1902.335337,56,117256.6654829979
413,-2169.957281,401,117673.11396193504
414,-12273.631828,4001,121792.20905804634
415,-13004.853334,3631,125526.35158395767
416,-1919.05013,317,125861.61332297325
417,-4008.290537,937,126834.22483706474
418,-11583.886032,4001,130953.92449498177
419,-3383.614573,719,131697.5430009365
420,-1566.022073,153,131873.4184770584
421,-5638.197124,1215,133131.40746688843
422,-4460.888353,1097,134267.60881996155
423,1893.351451,54,134332.13265299797
424,-1607.220687,267,134611.03599095345
425,-2639.294757,1592,136255.7941980362
