index,r,l,t
372,-604.821768,28,36443.21433496475
373,-741.792676,69,36479.5796918869
374,-647.257803,85,36522.099904060364
375,-530.862302,11,36537.20568704605
376,-577.902076,37,36565.43476510048
377,-536.840765,11,36580.52722001076
378,-1462.793227,487,36774.35834598541
379,-534.974262,11,36789.49885892868
380,-536.88152,15,36806.68475198746
381,-531.915222,9,36820.77115511894
382,-560.331161,17,36838.953306913376
383,-630.143175,56,36869.384248018265
384,-604.3031,46,36894.77226805687
385,972.606289,70,36948.47418999672
386,-2179.894236,411,37163.10983991623
387,567.866788,224,37286.16342496872
388,-1889.70121,545,37568.097125053406
389,-2334.431855,603,37884.81327199936
390,-2990.647103,909,38352.95706701279
391,-534.742322,27,38376.21377801895
392,-530.634617,19,38395.42776799202
393,-555.075868,19,38414.64019393921
394,-551.189239,17,38432.801137924194
395,-555.732834,19,38452.002506017685
396,-1535.54251,295,38611.567912101746
397,-570.622274,29,38635.86861991882
398,-628.349024,43,38667.337122917175
399,-596.018076,47,38700.781855106354
400,-702.247152,51,38736.30721592903
401,-618.462835,59,38775.86614203453
402,-426.645754,410,39002.555680036545
403,-497.692053,527,39263.09872794151
404,-1534.034559,465,39504.38698410988
405,-591.998248,29,39528.74576997757
406,-554.044931,15,39545.93092298508
407,-547.498892,11,39576.110109090805
408,835.791701,74,39622.807076931
409,-1158.321158,201,39722.48936390877
410,-533.156745,11,39737.623337984085
411,-1047.924927,203,39850.47095298767
412,-623.873832,31,39875.77033209801
413,-546.697542,15,39892.93760609627
414,-508.555929,3,39904.995645046234
415,-521.808866,6,39918.10720896721
416,-538.375506,9,39932.22231197357
417,-591.796107,63,39982.831146001816
418,-635.648767,79,40032.54829001427
419,-536.666244,9,40046.63887691498
420,-3899.688898,1033,40598.111824035645
421,-1249.795182,490,40861.70043897629
422,-557.453044,21,40881.95329809189
423,-565.302612,21,40902.18283009529
424,-542.875712,17,40929.379720926285
425,-2018.904621,551,41219.37090611458
426,-4423.53989,1294,41883.49624109268
427,-1303.136726,392,42099.093192100525
428,-2415.591169,763,42475.53106093407
429,-531.932959,7,42488.639041900635
430,982.75636,5,42500.725621938705
431,-969.163605,146,42577.08038306236
432,-7102.207902,1475,43331.16266298294
433,-555.087409,13,43347.320497989655
434,-540.265318,21,43367.521234989166
435,-519.819337,5,43388.63916897774
436,-531.951836,7,43401.745107889175
437,-565.051962,19,43420.94441509247
438,-551.195254,27,43444.21422600746
439,-555.993095,15,43461.367857933044
440,-538.335981,11,43476.484354019165
441,-705.761815,103,43538.426573991776
442,-2423.949138,753,43932.16283202171
443,-679.045622,83,43983.90129899979
444,-530.105295,13,44009.09021306038
445,-563.321106,19,44037.34015202522
446,-836.17209,480,44292.329807043076
447,-881.894415,149,44364.61516904831
448,-6807.960266,1481,45118.74889802933
449,-544.035233,11,45142.902343034744
450,-3417.785087,587,45450.95195388794
451,-2441.199892,615,45782.329910993576
452,-1251.929621,199,45893.291811943054
